#{"t_start": 1774254100.7553623, "env_id": "CartPole-v1"}
r,l,t
12.0,12,8.317489
10.0,10,8.326913
10.0,10,8.336332
11.0,11,8.347453
10.0,10,8.357304
11.0,11,8.366739
10.0,10,8.378581
11.0,11,8.392574
12.0,12,8.403111
12.0,12,8.414442
8.0,8,8.424347
10.0,10,8.432349
9.0,9,8.440434
12.0,12,8.451608
10.0,10,8.466153
10.0,10,8.478015
11.0,11,8.488607
10.0,10,8.500349
9.0,9,8.510457
10.0,10,8.519009
10.0,10,8.53038
11.0,11,8.543621
8.0,8,8.555718
11.0,11,8.565689
11.0,11,8.575893
10.0,10,8.585376
12.0,12,8.598255
11.0,11,8.606424
12.0,12,8.617325
9.0,9,8.628884
10.0,10,8.642021
9.0,9,8.652515
10.0,10,8.662479
10.0,10,8.670424
10.0,10,8.681971
11.0,11,8.695837
11.0,11,8.706157
10.0,10,8.717138
9.0,9,8.72912
8.0,8,8.7393
11.0,11,8.753955
10.0,10,8.762685
9.0,9,8.777943
11.0,11,8.790068
10.0,10,8.802585
12.0,12,8.814081
11.0,11,8.828871
10.0,10,8.836663
9.0,9,8.845738
9.0,9,8.857469
11.0,11,8.868131
9.0,9,8.881346
10.0,10,8.891058
10.0,10,8.905272
13.0,13,8.922628
9.0,9,8.933652
9.0,9,8.944192
9.0,9,8.95847
10.0,10,8.972109
9.0,9,8.981715
10.0,10,8.991783
11.0,11,9.002653
14.0,14,9.020192
11.0,11,9.032373
9.0,9,9.040161
10.0,10,9.050818
9.0,9,9.061475
12.0,12,9.072865
10.0,10,9.084012
9.0,9,9.097193
12.0,12,9.114037
11.0,11,9.12516
11.0,11,9.135962
12.0,12,9.147035
9.0,9,9.157625
12.0,12,9.168802
12.0,12,9.179735
11.0,11,9.190204
13.0,13,9.203445
12.0,12,9.214639
11.0,11,9.228753
13.0,13,9.242677
11.0,11,9.25894
12.0,12,9.274343
10.0,10,9.287366
10.0,10,9.299134
9.0,9,9.310384
9.0,9,9.323565
11.0,11,9.335144
9.0,9,9.347877
9.0,9,9.359879
12.0,12,9.373848
12.0,12,9.389264
11.0,11,9.402689
11.0,11,9.414592
9.0,9,9.427719
10.0,10,9.437673
11.0,11,9.447758
9.0,9,9.460585
10.0,10,9.475085
10.0,10,9.486629
9.0,9,9.497546
12.0,12,9.514564
11.0,11,9.527408
11.0,11,9.537338
9.0,9,9.545096
10.0,10,9.555893
11.0,11,9.563537
12.0,12,9.57496
9.0,9,9.584506
11.0,11,9.595602
11.0,11,9.605394
12.0,12,9.615548
10.0,10,9.626381
9.0,9,9.635606
14.0,14,9.646646
11.0,11,9.658082
9.0,9,9.665522
8.0,8,9.67387
11.0,11,9.684169
12.0,12,9.697351
9.0,9,9.705945
10.0,10,9.718951
10.0,10,9.729344
12.0,12,9.743435
9.0,9,9.754519
9.0,9,9.766186
12.0,12,9.780746
10.0,10,9.791417
11.0,11,9.801698
10.0,10,9.81424
12.0,12,9.82562
12.0,12,9.835834
10.0,10,9.844032
10.0,10,9.857755
10.0,10,9.867544
9.0,9,9.876402
9.0,9,9.887995
11.0,11,9.898911
10.0,10,9.909141
11.0,11,9.9213
10.0,10,9.930214
9.0,9,9.940749
12.0,12,9.955331
11.0,11,9.967901
9.0,9,9.977244
10.0,10,9.988507
10.0,10,9.998311
9.0,9,10.011311
12.0,12,10.02262
11.0,11,10.032361
9.0,9,10.042034
10.0,10,10.049763
9.0,9,10.05768
10.0,10,10.069017
10.0,10,10.076458
11.0,11,10.08732
10.0,10,10.09716
9.0,9,10.105733
9.0,9,10.114489
12.0,12,10.129467
10.0,10,10.144057
9.0,9,10.153861
9.0,9,10.161017
11.0,11,10.174689
10.0,10,10.185216
9.0,9,10.19894
11.0,11,10.208572
11.0,11,10.219869
12.0,12,10.234585
12.0,12,10.250555
9.0,9,10.2598
10.0,10,10.270833
9.0,9,10.279999
10.0,10,10.292414
11.0,11,10.301105
11.0,11,10.311593
12.0,12,10.325936
11.0,11,10.338678
9.0,9,10.349464
10.0,10,10.361909
13.0,13,10.376405
11.0,11,10.387709
9.0,9,10.396637
9.0,9,10.404286
10.0,10,10.417769
10.0,10,10.428641
10.0,10,10.439894
11.0,11,10.449822
12.0,12,10.462717
12.0,12,10.478449
10.0,10,10.492851
11.0,11,10.504481
9.0,9,10.512137
11.0,11,10.52669
9.0,9,10.53624
11.0,11,10.549984
12.0,12,10.563465
9.0,9,10.574817
11.0,11,10.590746
11.0,11,10.602664
12.0,12,10.619785
14.0,14,10.636582
12.0,12,10.648112
11.0,11,10.658484
11.0,11,10.667054
10.0,10,10.679204
10.0,10,10.687268
12.0,12,10.696874
10.0,10,10.706469
10.0,10,10.715723
11.0,11,10.726684
12.0,12,10.738262
11.0,11,10.748245
12.0,12,10.759997
11.0,11,10.77211
11.0,11,10.782965
11.0,11,10.796443
12.0,12,10.80945
9.0,9,10.817303
11.0,11,10.82865
11.0,11,10.840898
12.0,12,10.852989
10.0,10,10.862327
11.0,11,10.874546
12.0,12,10.888819
10.0,10,10.903114
11.0,11,10.914428
12.0,12,10.929068
10.0,10,10.941003
12.0,12,10.957464
11.0,11,10.972124
11.0,11,10.98356
10.0,10,10.9961
9.0,9,11.008636
10.0,10,11.021802
11.0,11,11.031779
12.0,12,11.046061
11.0,11,11.06072
11.0,11,11.071921
10.0,10,11.080396
9.0,9,11.089842
11.0,11,11.09963
10.0,10,11.109022
9.0,9,11.116352
12.0,12,11.127827
14.0,14,11.142787
11.0,11,11.15038
10.0,10,11.159915
10.0,10,11.167778
13.0,13,11.181977
9.0,9,11.190854
9.0,9,11.199196
11.0,11,11.210334
13.0,13,11.227786
12.0,12,11.242833
11.0,11,11.253935
10.0,10,11.262888
10.0,10,11.275173
13.0,13,11.288225
10.0,10,11.300732
12.0,12,11.313537
11.0,11,11.324442
9.0,9,11.338251
12.0,12,11.353606
14.0,14,11.36938
11.0,11,11.382821
12.0,12,11.395536
12.0,12,11.409336
12.0,12,11.42299
12.0,12,11.43614
11.0,11,11.445936
12.0,12,11.456167
12.0,12,11.467173
9.0,9,11.476072
12.0,12,11.486831
10.0,10,11.495934
11.0,11,11.506248
10.0,10,11.518023
10.0,10,11.526217
13.0,13,11.53642
9.0,9,11.545726
11.0,11,11.555713
9.0,9,11.56541
13.0,13,11.577139
9.0,9,11.584488
11.0,11,11.59707
12.0,12,11.609803
9.0,9,11.618397
9.0,9,11.627951
12.0,12,11.643195
11.0,11,11.6559
10.0,10,11.667645
13.0,13,11.683704
12.0,12,11.701591
10.0,10,11.711383
10.0,10,11.72222
10.0,10,11.732727
11.0,11,11.747978
10.0,10,11.758471
11.0,11,11.768827
11.0,11,11.780635
12.0,12,11.79377
12.0,12,11.805406
9.0,9,11.813563
9.0,9,11.824013
11.0,11,11.833878
9.0,9,11.906736
12.0,12,11.911305
12.0,12,11.916327
10.0,10,11.920408
12.0,12,11.925464
12.0,12,11.930289
10.0,10,11.934733
9.0,9,11.938461
11.0,11,11.942988
11.0,11,11.947441
